trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.05, 'e': 0.7899999999999998}",25,-14,-242.03908978411113,"{0: 17, 1: 8, 2: 10, 3: 2, 4: 2}",0
43,False,"{'a': 0.05, 'e': 0.7849999999999998}",25,-9,-67.93356891185577,"{0: 25, 1: 4, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.05, 'e': 0.7799999999999998}",20,-14,-60.84145558566487,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 0}",0
45,False,"{'a': 0.05, 'e': 0.7749999999999998}",25,-55,-236.81936166906146,"{0: 57, 1: 5, 2: 13, 3: 2, 4: 3}",0
46,False,"{'a': 0.05, 'e': 0.7699999999999998}",25,-12,-163.02241769939653,"{0: 25, 1: 2, 2: 5, 3: 3, 4: 2}",0
47,False,"{'a': 0.05, 'e': 0.7649999999999998}",30,-48,-211.81724051027075,"{0: 55, 1: 10, 2: 8, 3: 2, 4: 3}",0
48,False,"{'a': 0.05, 'e': 0.7599999999999998}",20,-19,-79.37896202678219,"{0: 29, 1: 3, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.05, 'e': 0.7549999999999998}",20,11,-32.906800583194105,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.05, 'e': 0.7499999999999998}",20,-100,-461.1148873731288,"{0: 84, 1: 7, 2: 19, 3: 2, 4: 8}",0
51,False,"{'a': 0.05, 'e': 0.7449999999999998}",20,-45,-229.55006722246264,"{0: 43, 1: 2, 2: 16, 3: 2, 4: 2}",0
52,False,"{'a': 0.05, 'e': 0.7399999999999998}",20,-16,-73.88472277507935,"{0: 27, 1: 0, 2: 8, 3: 0, 4: 1}",0
53,False,"{'a': 0.05, 'e': 0.7349999999999998}",25,11,2.2190153095688876,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.05, 'e': 0.7299999999999998}",30,-51,-479.53131587426776,"{0: 52, 1: 6, 2: 12, 3: 1, 4: 10}",0
55,False,"{'a': 0.05, 'e': 0.7249999999999998}",30,2,-168.30344729729774,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 3}",1
56,False,"{'a': 0.05, 'e': 0.7199999999999998}",20,-31,-96.89242693116924,"{0: 37, 1: 6, 2: 5, 3: 2, 4: 1}",0
57,False,"{'a': 0.05, 'e': 0.7149999999999997}",25,-9,-98.38570522311599,"{0: 27, 1: 0, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.05, 'e': 0.7099999999999997}",20,-35,-64.8570453503018,"{0: 44, 1: 1, 2: 7, 3: 3, 4: 0}",0
59,False,"{'a': 0.05, 'e': 0.7049999999999997}",20,-74,-536.3223281758708,"{0: 53, 1: 9, 2: 20, 3: 5, 4: 7}",0
60,False,"{'a': 0.05, 'e': 0.6999999999999997}",20,-32,-292.28627013482685,"{0: 31, 1: 6, 2: 9, 3: 1, 4: 5}",0
61,False,"{'a': 0.05, 'e': 0.6949999999999997}",20,14,4.817621528131566,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.05, 'e': 0.6899999999999997}",25,-85,-229.36856922607822,"{0: 84, 1: 7, 2: 14, 3: 1, 4: 4}",0
63,False,"{'a': 0.05, 'e': 0.6849999999999997}",25,-18,-35.34872882777966,"{0: 31, 1: 6, 2: 6, 3: 0, 4: 0}",0
64,False,"{'a': 0.05, 'e': 0.6799999999999997}",25,7,-51.03411202122072,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.05, 'e': 0.6749999999999997}",20,-24,-83.09491766783641,"{0: 30, 1: 8, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.05, 'e': 0.6699999999999997}",25,6,-1.1226782597056162,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.05, 'e': 0.6649999999999997}",20,4,-52.56132761821554,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.05, 'e': 0.6599999999999997}",25,13,-41.84358241539614,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.05, 'e': 0.6549999999999997}",20,2,-1.6950346342226483,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
